"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"Nelson Mandela Bay Campus","IT","I am learning to code","Developer, desktop or enterprise applications","Primary/elementary school","Ada;Apex;APL;Assembly;Bash/Shell (all shells);C;C#;C++;Clojure;Cobol;Crystal;Dart;Delphi;Elixir;Erlang;F#;Flow;Fortran;GDScript;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;MATLAB;Nim;Objective-C;OCaml;Perl;PHP;PowerShell;Prolog;Python;R;Raku;Ruby;Rust;SAS;Scala;Solidity;SQL;Swift;TypeScript;VBA;Visual Basic (.Net);Zig","BigQuery;Cassandra;Clickhouse;Cloud Firestore;Cockroachdb;Cosmos DB;Couch DB;Couchbase;Datomic;DuckDB;Dynamodb;Elasticsearch;Firebase Realtime Database;Firebird;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;RavenDB;Redis;Snowflake;Solr;SQLite;Supabase;TiDB","Amazon Web Services (AWS);Cloudflare;Colocation;Digital Ocean;Firebase;Fly.io;Google Cloud;Heroku;Hetzner;IBM Cloud Or Watson;Linode, now Akamai;Managed Hosting;Microsoft Azure;Netlify;OpenShift;OpenStack;Oracle Cloud Infrastructure (OCI);OVH;Render;Scaleway;Vercel;VMware;Vultr","Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;CodeIgniter;Deno;Django;Drupal;Elm;Express;FastAPI;Fastify;Flask;Gatsby;jQuery;Laravel;Lit;NestJS;Next.js;Node.js;Nuxt.js;Phoenix;Play Framework;Qwik;React;Remix;Ruby on Rails;Solid.js;Spring Boot;Svelte;Symfony;Vue.js;WordPress","Oil & Gas","Andi;Bing AI;ChatGPT;Google Bard AI;Metaphor;Neeva AI;Perplexity AI;Phind;Quora Poe;WolframAlpha;You.com","AWS CodeWhisperer;GitHub Copilot;Tabnine","Independent contractor, freelancer, or self-employed"
"Vanderbijlpark Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;TypeScript","Cosmos DB;Microsoft SQL Server;MongoDB;Oracle","Amazon Web Services (AWS);Microsoft Azure","ASP.NET;ASP.NET CORE;Blazor;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Python;SQL;TypeScript","MySQL;Redis;SQLite","Amazon Web Services (AWS)","Flask;jQuery;Next.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Codeium;Replit Ghostwriter","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript","Elasticsearch;MariaDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Linode, now Akamai;Vercel","jQuery;Laravel;Next.js;Nuxt.js;React;Vue.js;WordPress","Other","ChatGPT;WolframAlpha","AWS CodeWhisperer;GitHub Copilot;Synk Code","Independent contractor, freelancer, or self-employed"
"Durban Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Apex;HTML/CSS;JavaScript;PHP;Python;SQL","Elasticsearch;MariaDB;MongoDB;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku;Netlify","Express;jQuery;Laravel;Node.js;React;WordPress","Healthcare","ChatGPT","AWS CodeWhisperer;Synk Code;Whispr AI","Independent contractor, freelancer, or self-employed"
"Mbombela Campus","IT","I am a developer by profession","Cloud infrastructure engineer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;PHP;Python;Ruby;Rust;SQL;TypeScript","Dynamodb;MariaDB;MySQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean","Express;Flask;jQuery;Node.js;React;Svelte;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Synk Code","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Educator","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);C;C++;PHP;Prolog;R;Rust","MariaDB;SQLite","Managed Hosting;VMware","WordPress","Retail and Consumer Services","ChatGPT;WolframAlpha","Favorable","Employed, full-time"
"Pretoria Campus","Data Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Rust","PostgreSQL","Amazon Web Services (AWS);Heroku;Microsoft Azure","Next.js;Node.js;React","Legal Services","Bing AI","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;Python;TypeScript","Dynamodb","Amazon Web Services (AWS)","Node.js;React","Insurance","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Whispr AI","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL","Elasticsearch;MySQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Linode, now Akamai;Vercel","Flask;Laravel;Vue.js;WordPress","Manufacturing, Transportation, or Supply Chain","ChatGPT","Codeium;GitHub Copilot","Independent contractor, freelancer, or self-employed"
"Mbombela Campus","IT","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;JavaScript;PowerShell;SQL;Visual Basic (.Net)","H2;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Heroku;VMware","Angular;AngularJS;Node.js;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Tabnine","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;F#","Dynamodb;PostgreSQL","Amazon Web Services (AWS);Vercel","ASP.NET CORE","Wholesale","ChatGPT","Adrenaline;GitHub Copilot;Tabnine","Employed, full-time"
"Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;C;JavaScript;TypeScript","Microsoft SQL Server","Microsoft Azure","ASP.NET;ASP.NET CORE;Node.js;React","Oil & Gas","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript","MongoDB;MySQL;PostgreSQL","Firebase;Heroku;Netlify","Angular;Node.js;React","Financial Services","ChatGPT","Synk Code","Employed, full-time"
"Mbombela Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Designer","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript","Cloud Firestore","Firebase","Next.js;React;Svelte","Healthcare","ChatGPT","Codeium;Tabnine","Employed, part-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Apex;HTML/CSS;JavaScript","Clickhouse","Heroku;Netlify","Angular;Node.js","Other","ChatGPT","AWS CodeWhisperer;GitHub Copilot","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","C#;Elixir;Go;HTML/CSS;JavaScript;Python;TypeScript","Firebase Realtime Database;Microsoft SQL Server;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Firebase;Render","Elm;Phoenix;Vue.js","Higher Education","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Independent contractor, freelancer, or self-employed"
"Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","HTML/CSS;JavaScript;Python;SQL;TypeScript","Dynamodb;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare","AngularJS;Django;React","Financial Services","ChatGPT","Codeium;Tabnine","Employed, full-time"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;Objective-C;PHP;Python;Swift","MySQL;SQLite","Amazon Web Services (AWS)","jQuery;Nuxt.js;WordPress","Healthcare","ChatGPT","Codeium","Independent contractor, freelancer, or self-employed"
"Mbombela Campus","Computer Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Elixir;HTML/CSS;Ruby;SQL","BigQuery;PostgreSQL;Redis","Amazon Web Services (AWS);Google Cloud;Heroku","Phoenix;Ruby on Rails","Advertising Services","Bing AI;ChatGPT;Google Bard AI","Tabnine;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Python","PostgreSQL","Digital Ocean","Django;FastAPI;Vue.js","Financial Services","ChatGPT","Adrenaline;Synk Code;Whispr AI","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;JavaScript;PowerShell;TypeScript","Cosmos DB","Microsoft Azure","Angular;ASP.NET CORE","Other","Bing AI;ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine","Employed, full-time"
"Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Ruby","PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean","Ruby on Rails","Wholesale","ChatGPT","AWS CodeWhisperer","Employed, full-time"
"Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;Java;JavaScript;TypeScript","MariaDB;MongoDB;SQLite","Firebase;Google Cloud","Angular;NestJS;Node.js;Vue.js","Healthcare","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"Vanderbijlpark Campus","Data Science","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;SQL;Swift;TypeScript","MariaDB;MySQL;SQLite","Cloudflare;Firebase","Laravel;React;WordPress","Legal Services","ChatGPT","Codeium;GitHub Copilot","Employed, full-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Go;Java;Python","Elasticsearch;MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Digital Ocean","Flask;React;Spring Boot;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Synk Code;Tabnine;Whispr AI","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Dart;HTML/CSS;Java;JavaScript;Python;SQL","Cloud Firestore;MongoDB;MySQL;Redis","Firebase;Netlify","Express;Next.js;Node.js;React","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Independent contractor, freelancer, or self-employed;Student, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;Java;JavaScript;SQL;TypeScript","MariaDB;Microsoft SQL Server;MySQL;Neo4J","Digital Ocean","Angular;ASP.NET CORE;jQuery;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","Rubber Duck.AI;Tabnine","Independent contractor, freelancer, or self-employed"
"Mbombela Campus","IT","I am a developer by profession","Cloud infrastructure engineer","Some college/university study without earning a degree","Haskell;JavaScript;Scala;TypeScript","Dynamodb;Microsoft SQL Server;MySQL;PostgreSQL","Amazon Web Services (AWS);Microsoft Azure","Laravel;Node.js","Oil & Gas","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Employed, full-time"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;Java;JavaScript;PHP;SQL","MySQL","Scaleway","jQuery","Information Services, IT, Software Development, or other Technology","ChatGPT","Favorable","Employed, full-time"
"Pretoria Campus","Data Science","I am a developer by profession","Other (please specify):","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C++;Python;SQL","Dynamodb;Elasticsearch;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS)","Django;FastAPI","Oil & Gas","ChatGPT","Codeium;Synk Code;Whispr AI","Employed, full-time"
"Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","HTML/CSS;Java;JavaScript","Elasticsearch;MongoDB;MySQL;PostgreSQL","Heroku;Microsoft Azure","jQuery;Node.js;React","Healthcare","ChatGPT","GitHub Copilot;Synk Code;Tabnine","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Data scientist or machine learning specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;Java;JavaScript;PHP;Python","Firebase Realtime Database;IBM DB2;Microsoft SQL Server;MySQL;PostgreSQL;SQLite","Firebase;Google Cloud","jQuery;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","GitHub Copilot;Mintlify;Replit Ghostwriter","Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP;SQL","MariaDB;MongoDB;MySQL","OVH;Vercel","jQuery;Next.js;Node.js;Nuxt.js;React;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Employed, full-time"
"Durban Campus","IT","I am a developer by profession","Security professional","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C;HTML/CSS;JavaScript;Kotlin;Objective-C;PHP;PowerShell;SQL;Swift","Couch DB;H2;MariaDB;MongoDB;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure","Express;Node.js","Insurance","Bing AI;ChatGPT;WolframAlpha","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","Bash/Shell (all shells);Erlang;Python;Rust","PostgreSQL;Redis;SQLite","Hetzner;Linode, now Akamai","FastAPI;Flask;React","Oil & Gas","WolframAlpha","Rubber Duck.AI;Synk Code","Employed, full-time"
"Vanderbijlpark Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;TypeScript","PostgreSQL","Amazon Web Services (AWS)","React;Spring Boot","Healthcare","ChatGPT","AWS CodeWhisperer;Tabnine","Employed, part-time"
"Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","Oracle;Redis","Amazon Web Services (AWS)","AngularJS;ASP.NET;ASP.NET CORE;React","Financial Services","ChatGPT","Replit Ghostwriter;Tabnine","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET CORE","Healthcare","ChatGPT","GitHub Copilot;Whispr AI","Employed, full-time"
"Pretoria Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;Java;JavaScript;TypeScript","MongoDB;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean","Express;Next.js;Node.js;React;Spring Boot","Retail and Consumer Services","Bing AI;ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time;Student, full-time"
"Pretoria Campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Elixir;Erlang;JavaScript;Lisp;Ruby","MySQL;PostgreSQL","Amazon Web Services (AWS)","Phoenix;React;Ruby on Rails","Information Services, IT, Software Development, or other Technology","ChatGPT","Codeium;GitHub Copilot;Synk Code","Employed, full-time"
"Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;JavaScript;PowerShell;Python;SQL","Oracle","Oracle Cloud Infrastructure (OCI)","jQuery","Advertising Services","ChatGPT","Codeium;Synk Code;Whispr AI","Employed, full-time"
"Mbombela Campus","IT","I am a developer by profession","Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Julia;MATLAB;Perl;PHP;Python;R;Scala;SQL;TypeScript","BigQuery;Cloud Firestore;Elasticsearch;Firebase Realtime Database;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Cloudflare;Digital Ocean;Firebase;Google Cloud;Managed Hosting;Vercel","Express;FastAPI;Gatsby;Next.js;Node.js;React;WordPress","Oil & Gas","WolframAlpha","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed, full-time"
"Durban Campus","Computer Science","I am a developer by profession","Research & Development role","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Objective-C;Perl;PHP;Python;Ruby;Solidity;SQL","Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Heroku","Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;Express;Node.js;React;Ruby on Rails","Insurance","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine","Independent contractor, freelancer, or self-employed"
"Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;PowerShell;SQL;VBA","Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;Snowflake;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;VMware","jQuery;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine","Employed, full-time"
